Date_Time,Value
2023-01-01 0:00,156.443
2023-01-02 0:00,156.436
2023-01-03 0:00,156.442
2023-01-04 0:00,156.452
2023-01-05 0:00,156.452
2023-01-06 0:00,156.453
2023-01-07 0:00,156.462
2023-01-08 0:00,156.457
2023-01-09 0:00,156.463
2023-01-10 0:00,156.467
2023-01-11 0:00,156.461
2023-01-12 0:00,156.469
2023-01-13 0:00,156.471
2023-01-14 0:00,156.471
2023-01-15 0:00,156.482
2023-01-16 0:00,156.477
2023-01-17 0:00,156.478
2023-01-18 0:00,156.483
2023-01-19 0:00,156.5
2023-01-20 0:00,156.489
2023-01-21 0:00,156.487
2023-01-22 0:00,156.493
2023-01-23 0:00,156.489
2023-01-24 0:00,156.495
2023-01-25 0:00,156.493
2023-01-26 0:00,156.493
2023-01-27 0:00,156.501
2023-01-28 0:00,156.503
2023-01-29 0:00,156.5
2023-01-30 0:00,156.502
2023-01-31 0:00,156.505
2023-02-01 0:00,156.504
2023-02-02 0:00,156.501
2023-02-03 0:00,156.502
2023-02-04 0:00,156.504
2023-02-05 0:00,156.495
2023-02-06 0:00,156.508
2023-02-07 0:00,156.511
2023-02-08 0:00,156.511
2023-02-09 0:00,156.513
2023-02-10 0:00,156.508
2023-02-11 0:00,156.513
2023-02-12 0:00,156.513
2023-02-13 0:00,156.51
2023-02-14 0:00,156.523
2023-02-15 0:00,156.518
2023-02-16 0:00,156.511
2023-02-17 0:00,156.525
2023-02-18 0:00,156.527
2023-02-19 0:00,156.522
2023-02-20 0:00,156.527
2023-02-21 0:00,156.527
2023-02-22 0:00,156.532
2023-02-23 0:00,156.532
2023-02-24 0:00,156.538
2023-02-25 0:00,156.535
2023-02-26 0:00,156.526
2023-02-27 0:00,156.527
2023-02-28 0:00,156.529
2023-03-01 0:00,156.532
2023-03-02 0:00,156.522
2023-03-03 0:00,156.531
2023-03-04 0:00,156.53
2023-03-05 0:00,156.536
2023-03-06 0:00,156.531
2023-03-07 0:00,156.522
2023-03-08 0:00,156.531
2023-03-09 0:00,156.531
2023-03-10 0:00,156.531
2023-03-11 0:00,156.537
2023-03-12 0:00,156.54
2023-03-13 0:00,156.533
2023-03-14 0:00,156.53
2023-03-15 0:00,156.539
2023-03-16 0:00,156.546
2023-03-17 0:00,156.546
2023-03-18 0:00,156.543
2023-03-19 0:00,156.546
2023-03-20 0:00,156.55
2023-03-21 0:00,156.552
2023-03-22 0:00,156.549
2023-03-23 0:00,156.557
2023-03-24 0:00,156.564
2023-03-25 0:00,156.561
2023-03-26 0:00,156.569
2023-03-27 0:00,156.571
2023-03-28 0:00,156.576
2023-03-29 0:00,156.576
2023-03-30 0:00,156.575
2023-03-31 0:00,156.567
2023-04-01 0:00,156.575
2023-04-02 0:00,156.589
2023-04-03 0:00,156.591
2023-04-04 0:00,156.595
2023-04-05 0:00,156.595
2023-04-06 0:00,156.599
2023-04-07 0:00,156.604
2023-04-08 0:00,156.612
2023-04-09 0:00,156.599
2023-04-10 0:00,156.599
2023-04-11 0:00,156.608
2023-04-12 0:00,156.612
2023-04-13 0:00,156.606
2023-04-14 0:00,156.603
2023-04-15 0:00,156.608
2023-04-16 0:00,156.606
2023-04-17 0:00,156.6
2023-04-18 0:00,156.6
2023-04-19 0:00,156.605
2023-04-20 0:00,156.607
2023-04-21 0:00,156.61
2023-04-22 0:00,156.609
2023-04-23 0:00,156.607
2023-04-24 0:00,156.606
2023-04-25 0:00,156.601
2023-04-26 0:00,156.615
2023-04-27 0:00,156.609
2023-04-28 0:00,156.609
2023-04-29 0:00,156.601
2023-04-30 0:00,156.598
2023-05-01 0:00,156.603
2023-05-02 0:00,156.603
2023-05-03 0:00,156.608
2023-05-04 0:00,156.599
2023-05-05 0:00,156.596
2023-05-06 0:00,156.606
2023-05-07 0:00,156.6
2023-05-08 0:00,156.599
2023-05-09 0:00,156.592
2023-05-10 0:00,156.586
2023-05-11 0:00,156.579
2023-05-12 0:00,156.577
2023-05-13 0:00,156.58
2023-05-14 0:00,156.572
2023-05-15 0:00,156.537
2023-05-16 0:00,156.56
2023-05-17 0:00,156.568
2023-05-18 0:00,156.567
2023-05-19 0:00,156.545
2023-05-20 0:00,156.553
2023-05-21 0:00,156.548
2023-05-22 0:00,156.537
2023-05-23 0:00,156.543
2023-05-24 0:00,156.54
2023-05-25 0:00,156.531
2023-05-26 0:00,156.536
2023-05-27 0:00,156.553
2023-05-28 0:00,156.526
2023-05-29 0:00,156.518
2023-05-30 0:00,156.533
2023-05-31 0:00,156.527
2023-06-01 0:00,156.53
2023-06-02 0:00,156.519
2023-06-03 0:00,156.513
2023-06-04 0:00,156.51
2023-06-05 0:00,156.511
2023-06-06 0:00,156.54
2023-06-07 0:00,156.538
2023-06-08 0:00,156.512
2023-06-09 0:00,156.519
2023-06-10 0:00,156.516
2023-06-11 0:00,156.49
2023-06-12 0:00,156.499
2023-06-13 0:00,156.502
2023-06-14 0:00,156.488
2023-06-15 0:00,156.484
2023-06-16 0:00,156.477
2023-06-17 0:00,156.471
2023-06-18 0:00,156.47
2023-06-19 0:00,156.47
2023-06-20 0:00,156.464
2023-06-21 0:00,156.453
2023-06-22 0:00,156.454
2023-06-23 0:00,156.448
2023-06-24 0:00,156.423
2023-06-25 0:00,156.441
2023-06-26 0:00,156.439
2023-06-27 0:00,156.425
2023-06-28 0:00,156.425
2023-06-29 0:00,156.421
2023-06-30 0:00,156.432
2023-07-01 0:00,156.438
2023-07-02 0:00,156.422
2023-07-03 0:00,156.417
2023-07-04 0:00,156.431
2023-07-05 0:00,156.415
2023-07-06 0:00,156.429
2023-07-07 0:00,156.421
2023-07-08 0:00,156.415
2023-07-09 0:00,156.411
2023-07-10 0:00,156.42
2023-07-11 0:00,156.406
2023-07-12 0:00,156.391
2023-07-13 0:00,156.383
2023-07-14 0:00,156.391
2023-07-15 0:00,156.389
2023-07-16 0:00,156.391
2023-07-17 0:00,156.383
2023-07-18 0:00,156.383
2023-07-19 0:00,156.377
2023-07-20 0:00,156.372
2023-07-21 0:00,156.358
2023-07-22 0:00,156.36
2023-07-23 0:00,156.355
2023-07-24 0:00,156.349
2023-07-25 0:00,156.355
2023-07-26 0:00,156.347
2023-07-27 0:00,156.351
2023-07-28 0:00,156.352
2023-07-29 0:00,156.346
2023-07-30 0:00,156.345
2023-07-31 0:00,156.328
2023-08-01 0:00,156.314
2023-08-02 0:00,156.33
2023-08-03 0:00,156.336
2023-08-04 0:00,156.319
2023-08-05 0:00,156.311
2023-08-06 0:00,156.316
2023-08-07 0:00,156.317
2023-08-08 0:00,156.328
2023-08-09 0:00,156.328
2023-08-10 0:00,156.312
2023-08-11 0:00,156.312
2023-08-12 0:00,156.315
2023-08-13 0:00,156.322
2023-08-14 0:00,156.285
2023-08-15 0:00,156.288
2023-08-16 0:00,156.297
2023-08-17 0:00,156.264
2023-08-18 0:00,156.262
2023-08-19 0:00,156.26
2023-08-20 0:00,156.275
2023-08-21 0:00,156.267
2023-08-22 0:00,156.269
2023-08-23 0:00,156.27
2023-08-24 0:00,156.279
2023-08-25 0:00,156.282
2023-08-26 0:00,156.246
2023-08-27 0:00,156.278
2023-08-28 0:00,156.259
2023-08-29 0:00,156.247
2023-08-30 0:00,156.261
2023-08-31 0:00,156.26
2023-09-01 0:00,156.267
2023-09-02 0:00,156.208
2023-09-03 0:00,156.199
2023-09-04 0:00,156.209
2023-09-05 0:00,156.222
2023-09-06 0:00,156.224
2023-09-07 0:00,156.237
2023-09-08 0:00,156.229
2023-09-09 0:00,156.214
2023-09-10 0:00,156.226
2023-09-11 0:00,156.227
2023-09-12 0:00,156.217
2023-09-13 0:00,156.2
2023-09-14 0:00,156.202
2023-09-15 0:00,156.221
2023-09-16 0:00,156.198
2023-09-17 0:00,156.205
2023-09-18 0:00,156.206
2023-09-19 0:00,156.183
2023-09-20 0:00,156.158
2023-09-21 0:00,156.197
2023-09-22 0:00,156.182
2023-09-23 0:00,156.167
2023-09-24 0:00,156.182
2023-09-25 0:00,156.134
2023-09-26 0:00,156.154
2023-09-27 0:00,156.15
2023-09-28 0:00,156.14
2023-09-29 0:00,156.138
2023-09-30 0:00,156.145
2023-10-01 0:00,156.172
2023-10-02 0:00,156.139
2023-10-03 0:00,156.125
2023-10-04 0:00,156.088
2023-10-05 0:00,156.065
2023-10-06 0:00,156.125
2023-10-07 0:00,156.114
2023-10-08 0:00,156.147
2023-10-09 0:00,156.101
2023-10-10 0:00,156.111
2023-10-11 0:00,156.11
2023-10-12 0:00,156.092
2023-10-13 0:00,156.107
2023-10-14 0:00,156.128
2023-10-15 0:00,156.109
2023-10-16 0:00,156.07
2023-10-17 0:00,156.07
2023-10-18 0:00,156.112
2023-10-19 0:00,156.09
2023-10-20 0:00,156.016
2023-10-21 0:00,156.009
2023-10-22 0:00,155.969
2023-10-23 0:00,155.933
2023-10-24 0:00,155.98
2023-10-25 0:00,155.995
2023-10-26 0:00,155.968
2023-10-27 0:00,155.999
2023-10-28 0:00,155.976
2023-10-29 0:00,155.982
2023-10-30 0:00,156.019
2023-10-31 0:00,155.973
2023-11-01 0:00,155.973
2023-11-02 0:00,155.978
2023-11-03 0:00,155.991
2023-11-04 0:00,155.989
2023-11-05 0:00,155.976
2023-11-06 0:00,155.982
2023-11-07 0:00,155.96
2023-11-08 0:00,155.953
2023-11-09 0:00,156.022
2023-11-10 0:00,156
2023-11-11 0:00,155.961
2023-11-12 0:00,155.896
2023-11-13 0:00,155.948
2023-11-14 0:00,155.951
2023-11-15 0:00,155.917
2023-11-16 0:00,155.999
2023-11-17 0:00,155.93
2023-11-18 0:00,155.946
2023-11-19 0:00,155.938
2023-11-20 0:00,155.832
2023-11-21 0:00,155.889
2023-11-22 0:00,155.938
